.Column-Formatted Data
*Order   .Order   .Ship    .Customer.   .    .Product .      .          .          .                                    .    .
*Number  .Date    .Date    .Number  .Rep.Cat .Number  . Qty  .  Sale    .  Cost    .Description                         .Unit.
*========.========.========.========.===.====.========.======.==========.==========.====================================.====.
	97156527	19970102	19970102	00000180	JIL	GAUZ	GAUZ0085	     9	    130.50	     68.40	PADS STERILE 4"X4" 100/BX           	BOX 	
	97158918	19970102	19970102	00000246	MRP	ADBN	ADBN0002	    36	    142.20	     90.09	BANDAGE ELASTOPLAST  1"X3" 100'S    	BOX 	
	97159360	19970102	19970102	00000240	JIL	ANTI	ANTI0031	     4	     63.20	     39.72	ANTISEPTIC CLEANSER BETADINE GA     	EACH	
	97159839	19970102	19970102	00000164	MRP	COTT	COTT0019	    10	     69.00	     39.54	APPLICATOR COTTON TIP 6" 1000/BX    	BOX 	
	97159993	19970102	19970106	00000147	MRP	GAUZ	GAUZ0037	    27	     28.08	     18.21	BANDAGE SOFT-STRETCH STERILE CONFORM	EACH	
	97160433	19970102	19970102	00000204	MRP	FAKT	FAKT0040	    25	    596.50	    461.00	KIT FIRST AID 25 PERSON CUSTOM      	EACH	
	97160478	19970102	19970102	00000184	JIL	AACD	AACD0025	    18	     18.36	     16.70	ENEMA FLEET ADULT 4.5 OZ            	EACH	
	97160478	19970102	19970109	00000184	JIL	ANTI	ANTI0097	    37	     47.73	     41.14	GAUZE SPONGE NONSTERILE 2"X2" 8 PLY 	BAG 	
	97160618	19970102	19970102	00000240	JIL	ADBN	ADBN0015	    24	    145.20	    100.24	ELASTOPLAST COVERLET KNUCKLE 100'S  	BOX 	
	97160618	19970102	19970102	00000240	JIL	ELAS	ELAS0016	    15	   1156.65	    901.25	BANDAGE MEDI-RIP SELF-ADHER 2" 70/BX	BOX 	
	97160626	19970102	19970102	00000240	JIL	AACD	AACD0004	     6	    112.08	     74.04	ANTACID ALCALAK SUGAR-FREE MINT     	BOX 	
	97160626	19970102	19970102	00000240	JIL	ADBN	ADBN0002	    20	     72.40	     50.05	BANDAGE ELASTOPLAST  1"X3" 100'S    	BOX 	
	97160626	19970102	19970102	00000240	JIL	ANTI	ANTI0016	     2	      2.86	      1.77	WIPE ALCOHOL 100/BX                 	BOX 	
	97160626	19970102	19970102	00000240	JIL	ANTI	ANTI0021	     6	      8.82	      5.04	OINTMENT BACITRACIN 1 OZ            	EACH	
	97160626	19970102	19970102	00000240	JIL	ANTI	ANTI0022	     2	     20.84	     14.00	OINTMENT BACITRACIN 1/32 OZ 144/BX  	BOX 	
	97160626	19970102	19970102	00000240	JIL	ANTI	ANTI0079	     8	      4.40	      3.04	HYDROGEN PEROXIDE 16 OZ             	EACH	
	97160626	19970102	19970102	00000240	JIL	ANTI	ANTI0096	     3	     18.84	     12.53	GAUZE SPONGE NONSTERILE 4"X4" 12 PLY	BAG 	
	97160626	19970102	19970103	00000240	JIL	ELAS	ELAS0008	   240	    259.20	    168.00	WRAP SELF-ADHERING 1"X5 YD TAN 3M   	ROLL	
